epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,8646.19,0.87015,0.37123,0.47607,0.93014,0.86628,0.93353,0.58757,0.73902,0.35102,0.49781,0.00770234,0.00770234,0.00770234
98,8735.19,0.79783,0.35428,0.48347,0.95612,0.88372,0.93454,0.57214,0.75048,0.33482,0.50041,0.00765843,0.00765843,0.00765843
99,8824.08,0.80321,0.36909,0.46946,0.95504,0.86459,0.93474,0.58687,0.75273,0.34323,0.50059,0.00761423,0.00761423,0.00761423
100,8912.73,0.76887,0.35912,0.48222,0.94369,0.88372,0.93718,0.57582,0.73199,0.33257,0.49865,0.00756976,0.00756976,0.00756976
101,9001.36,0.78141,0.35742,0.46425,0.958,0.86628,0.92918,0.59926,0.73759,0.33965,0.49907,0.007525,0.007525,0.007525
102,9089.7,0.70438,0.30639,0.41746,0.9422,0.85297,0.9227,0.58547,0.78467,0.34351,0.49941,0.00747997,0.00747997,0.00747997
103,9177.91,0.71088,0.30607,0.42779,0.93278,0.84884,0.9142,0.58824,0.75806,0.33588,0.49651,0.00743468,0.00743468,0.00743468
104,9265.52,0.77095,0.34415,0.46918,0.96026,0.843,0.93243,0.57899,0.74255,0.34497,0.49811,0.00738913,0.00738913,0.00738913
105,9353.07,0.82714,0.36535,0.49106,0.967,0.85179,0.93463,0.59119,0.74809,0.33618,0.49978,0.00734332,0.00734332,0.00734332
106,9440.15,0.72253,0.31812,0.44027,0.94978,0.87963,0.93452,0.59107,0.7285,0.33518,0.50003,0.00729725,0.00729725,0.00729725
107,9529.71,0.79272,0.36427,0.48531,0.96648,0.87209,0.93038,0.57707,0.7696,0.34051,0.49486,0.00725094,0.00725094,0.00725094
108,9618.86,0.75086,0.33478,0.467,0.96099,0.8593,0.93799,0.58638,0.72468,0.33748,0.50089,0.00720439,0.00720439,0.00720439
109,9707.64,0.77257,0.3466,0.46812,0.96149,0.87791,0.93455,0.58708,0.73179,0.31512,0.49384,0.00715761,0.00715761,0.00715761
110,9796.59,0.75681,0.31638,0.43644,0.96664,0.84241,0.92956,0.57788,0.74284,0.33524,0.50159,0.00711059,0.00711059,0.00711059
111,9884.52,0.78384,0.34681,0.48804,0.9648,0.86628,0.93203,0.59939,0.69696,0.31136,0.49857,0.00706335,0.00706335,0.00706335
112,9972.17,0.76635,0.33999,0.46621,0.9646,0.87791,0.93852,0.60527,0.69585,0.31934,0.4976,0.00701588,0.00701588,0.00701588
113,10059.7,0.72084,0.31363,0.44479,0.95532,0.87027,0.92734,0.59162,0.69798,0.31578,0.49021,0.0069682,0.0069682,0.0069682
114,10148.7,0.77656,0.36933,0.47949,0.96346,0.88372,0.94799,0.59764,0.74195,0.32301,0.48975,0.00692031,0.00692031,0.00692031
115,10237.7,0.82548,0.3793,0.48234,0.95556,0.87507,0.93571,0.57119,0.71311,0.32609,0.49473,0.00687222,0.00687222,0.00687222
116,10327.5,0.83328,0.35453,0.47443,0.98103,0.90201,0.9505,0.58243,0.70762,0.3171,0.49428,0.00682392,0.00682392,0.00682392
117,10416.3,0.79779,0.3461,0.46238,0.97714,0.87791,0.94933,0.60468,0.70672,0.31952,0.49786,0.00677543,0.00677543,0.00677543
118,10505.2,0.73935,0.32897,0.47226,0.96721,0.87209,0.9519,0.59938,0.71512,0.31004,0.4939,0.00672675,0.00672675,0.00672675
119,10594,0.71276,0.32798,0.45546,0.96757,0.86744,0.94555,0.5797,0.68534,0.32223,0.49245,0.00667789,0.00667789,0.00667789
120,10683.3,0.75892,0.32287,0.46411,0.95985,0.87209,0.93403,0.58331,0.71344,0.3118,0.49713,0.00662885,0.00662885,0.00662885
121,10771.8,0.69684,0.30765,0.43223,0.96309,0.86047,0.92618,0.61779,0.66046,0.30134,0.49392,0.00657963,0.00657963,0.00657963
122,10860.6,0.69119,0.32393,0.44688,0.94919,0.86882,0.92786,0.60432,0.67098,0.29941,0.49158,0.00653025,0.00653025,0.00653025
123,10949.3,0.73468,0.33921,0.46298,0.96747,0.8647,0.93431,0.61057,0.68832,0.3019,0.49028,0.00648071,0.00648071,0.00648071
124,11037.9,0.7193,0.3257,0.43548,0.96815,0.88351,0.94825,0.61403,0.69238,0.29901,0.49263,0.00643101,0.00643101,0.00643101
125,11126.5,0.77014,0.31792,0.45917,0.96167,0.87529,0.9423,0.62195,0.68081,0.3056,0.48831,0.00638115,0.00638115,0.00638115
126,11215.2,0.74773,0.33484,0.47525,0.9736,0.85766,0.93877,0.61943,0.69361,0.30774,0.48862,0.00633115,0.00633115,0.00633115
127,11304.1,0.71195,0.31127,0.45679,0.96922,0.86628,0.94032,0.61673,0.67745,0.30316,0.48503,0.00628101,0.00628101,0.00628101
128,11392.6,0.67793,0.30321,0.40739,0.96263,0.87209,0.94887,0.61734,0.66277,0.30326,0.48708,0.00623074,0.00623074,0.00623074
129,11481.1,0.72226,0.32055,0.45523,0.96104,0.86052,0.93011,0.61742,0.6862,0.30467,0.49265,0.00618034,0.00618034,0.00618034
130,11569.6,0.70618,0.30332,0.42468,0.94965,0.87725,0.94125,0.62161,0.68871,0.30946,0.49039,0.00612981,0.00612981,0.00612981
131,11658.3,0.77563,0.34409,0.45418,0.94624,0.87209,0.93655,0.60902,0.69245,0.31122,0.49277,0.00607916,0.00607916,0.00607916
132,11747.6,0.8267,0.34704,0.4909,0.97381,0.86457,0.93669,0.60747,0.68462,0.3056,0.4915,0.0060284,0.0060284,0.0060284
133,11836.4,0.75473,0.31873,0.45185,0.97343,0.88372,0.94817,0.62251,0.67485,0.30328,0.49357,0.00597754,0.00597754,0.00597754
134,11925.6,0.73619,0.31434,0.46913,0.96867,0.86628,0.93896,0.61893,0.66842,0.29893,0.49003,0.00592657,0.00592657,0.00592657
135,12014.5,0.72383,0.32231,0.45979,0.97397,0.87029,0.94908,0.62423,0.67665,0.29609,0.49241,0.00587551,0.00587551,0.00587551
136,12103.7,0.71507,0.32316,0.44487,0.97347,0.85334,0.9362,0.6193,0.68743,0.30215,0.49372,0.00582435,0.00582435,0.00582435
137,12192.5,0.71206,0.30286,0.44902,0.97379,0.86407,0.94226,0.62831,0.68499,0.29735,0.49014,0.00577311,0.00577311,0.00577311
138,12280.9,0.66026,0.29042,0.43009,0.97401,0.87148,0.94002,0.63245,0.67945,0.29187,0.48941,0.00572179,0.00572179,0.00572179
139,12369.9,0.70916,0.30193,0.46273,0.95542,0.8723,0.94943,0.62494,0.68315,0.29086,0.48994,0.0056704,0.0056704,0.0056704
140,12458.7,0.71793,0.32102,0.45725,0.96797,0.87842,0.95138,0.63087,0.67483,0.29314,0.48989,0.00561894,0.00561894,0.00561894
141,12547.8,0.76528,0.326,0.49198,0.96803,0.88023,0.94923,0.63623,0.6593,0.28721,0.48929,0.00556742,0.00556742,0.00556742
142,12636.7,0.69863,0.31854,0.44724,0.96843,0.89181,0.95118,0.64288,0.65421,0.28751,0.48998,0.00551584,0.00551584,0.00551584
143,12725.9,0.75342,0.32988,0.47942,0.97352,0.87791,0.93963,0.62534,0.69291,0.28945,0.48761,0.00546421,0.00546421,0.00546421
144,12815,0.77164,0.32169,0.48157,0.97161,0.88372,0.94667,0.62833,0.67148,0.28759,0.48777,0.00541253,0.00541253,0.00541253
145,12904,0.74617,0.31465,0.44778,0.96808,0.88166,0.93639,0.6253,0.6599,0.28615,0.48902,0.00536081,0.00536081,0.00536081
146,12992.4,0.69767,0.29931,0.4391,0.96849,0.89349,0.94525,0.61869,0.67646,0.29221,0.48845,0.00530906,0.00530906,0.00530906
147,13081.4,0.67268,0.27904,0.45694,0.96863,0.89755,0.94855,0.63172,0.65287,0.2848,0.48749,0.00525728,0.00525728,0.00525728
148,13169.7,0.65994,0.28972,0.44329,0.98091,0.89632,0.95035,0.63256,0.65452,0.28604,0.48841,0.00520548,0.00520548,0.00520548
149,13258.8,0.69601,0.30084,0.46044,0.98087,0.89429,0.95074,0.63245,0.65739,0.28391,0.48662,0.00515366,0.00515366,0.00515366
150,13348,0.71003,0.32233,0.46426,0.98085,0.89321,0.94753,0.63184,0.65986,0.29107,0.48684,0.00510184,0.00510184,0.00510184
151,13437.2,0.72122,0.31046,0.4575,0.97461,0.89258,0.94798,0.6309,0.67045,0.29203,0.48694,0.00505,0.00505,0.00505
152,13525.3,0.64145,0.28786,0.41569,0.97959,0.88953,0.94154,0.62275,0.66691,0.29305,0.48815,0.00499816,0.00499816,0.00499816
153,13614.4,0.71839,0.32303,0.45946,0.97217,0.89535,0.94743,0.62988,0.66039,0.28407,0.48989,0.00494634,0.00494634,0.00494634
154,13703.4,0.732,0.31198,0.45521,0.97408,0.87407,0.94094,0.63266,0.6637,0.29013,0.49067,0.00489452,0.00489452,0.00489452
155,13792.3,0.70983,0.30959,0.4627,0.97417,0.87711,0.94398,0.6223,0.67092,0.29089,0.49022,0.00484272,0.00484272,0.00484272
156,13881.6,0.71398,0.31687,0.46697,0.97437,0.88394,0.94408,0.62009,0.6919,0.29653,0.48669,0.00479094,0.00479094,0.00479094
157,13971.8,0.70328,0.30012,0.45489,0.97399,0.87089,0.9434,0.62519,0.68339,0.29417,0.48639,0.00473919,0.00473919,0.00473919
158,14061.9,0.60849,0.26194,0.44363,0.98083,0.89231,0.94564,0.63246,0.68194,0.29537,0.48657,0.00468747,0.00468747,0.00468747
159,14152.6,0.64695,0.28386,0.45568,0.98069,0.88583,0.95125,0.6312,0.67784,0.28892,0.48584,0.00463579,0.00463579,0.00463579
160,14243.3,0.6652,0.29412,0.4439,0.9732,0.88372,0.95166,0.63933,0.66459,0.28858,0.48486,0.00458416,0.00458416,0.00458416
161,14333.9,0.6994,0.30174,0.44916,0.96832,0.88863,0.94251,0.64522,0.66189,0.28511,0.48469,0.00453258,0.00453258,0.00453258
162,14424.4,0.6239,0.27168,0.42297,0.97456,0.89089,0.93983,0.64614,0.66133,0.27991,0.48514,0.00448106,0.00448106,0.00448106
163,14514.8,0.65825,0.30277,0.43521,0.97465,0.894,0.93806,0.65843,0.65491,0.28635,0.48495,0.0044296,0.0044296,0.0044296
164,14605.8,0.67638,0.2836,0.44968,0.97237,0.89535,0.94504,0.64874,0.64327,0.2834,0.48508,0.00437821,0.00437821,0.00437821
165,14698.7,0.6546,0.28151,0.43644,0.97343,0.89535,0.94581,0.64521,0.64908,0.28239,0.48498,0.00432689,0.00432689,0.00432689
166,14791.2,0.634,0.27692,0.44048,0.97465,0.89398,0.94304,0.64386,0.65157,0.28238,0.48331,0.00427565,0.00427565,0.00427565
167,14884,0.63949,0.26736,0.42715,0.97437,0.88424,0.94297,0.63952,0.66551,0.28193,0.48352,0.00422449,0.00422449,0.00422449
168,14977.1,0.69457,0.3058,0.45692,0.97448,0.88789,0.94355,0.64408,0.6683,0.28311,0.48253,0.00417343,0.00417343,0.00417343
169,15070.2,0.68871,0.30091,0.4814,0.96805,0.88084,0.93962,0.64879,0.66537,0.28686,0.48469,0.00412246,0.00412246,0.00412246
170,15159,0.67866,0.28888,0.44892,0.96819,0.8847,0.93557,0.65032,0.65247,0.28614,0.48692,0.0040716,0.0040716,0.0040716
171,15247.9,0.67117,0.30017,0.46137,0.98029,0.88953,0.94249,0.64988,0.66204,0.28564,0.48549,0.00402084,0.00402084,0.00402084
172,15336.7,0.66957,0.28413,0.44051,0.97889,0.88372,0.94373,0.65147,0.66331,0.28743,0.48506,0.00397019,0.00397019,0.00397019
